"The recipe","Source file count","Source file changed count","Cumulative scanning time","99th percentile scanning time","Max scanning time","Cumulative edit time","99th percentile edit time","Max edit time"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.ChangeMethodAccessLevel","216","36","0","0.0","0","2241181","0.99","140599"
"org.openrewrite.java.migrate.javax.AddJaxwsRuntime","54","36","0","0.0","0","32592","0.99","20200"
"org.openrewrite.java.migrate.net.MigrateMulticastSocketGetTTLToGetTimeToLive","54","36","0","0.0","0","9501","0.99","1400"
"org.openrewrite.github.SetupJavaUpgradeJavaVersion","162","36","0","0.0","0","498707","0.99","129600"
"org.openrewrite.java.migrate.UpgradeToJava6","54","36","0","0.0","0","6807","0.99","799"
"org.openrewrite.java.migrate.UpgradeToJava17","54","36","0","0.0","0","7498","0.99","901"
"org.openrewrite.java.migrate.UpgradeToJava7","54","36","0","0.0","0","7498","0.99","1001"
"org.openrewrite.java.migrate.AddLombokMapstructBinding","54","36","0","0.0","0","11502","0.99","1200"
"org.openrewrite.java.migrate.RemovedLegacySunJSSEProviderName","54","36","0","0.0","0","15598","0.99","799"
"org.openrewrite.java.migrate.UpgradeToJava8","54","36","0","0.0","0","9897","0.99","2900"
"org.openrewrite.java.migrate.util.OptionalNotEmptyToIsPresent","54","36","0","0.0","0","403097","0.99","34400"
"org.openrewrite.java.migrate.DeprecatedCountStackFramesMethod","54","36","0","0.0","0","16289","0.99","999"
"org.openrewrite.maven.ChangeManagedDependencyGroupIdAndArtifactId","108","36","0","0.0","0","999296","0.99","603599"
"org.openrewrite.java.migrate.sql.MigrateDriverManagerSetLogStream","54","36","0","0.0","0","144792","0.99","24300"
"org.openrewrite.java.migrate.UpgradeToJava21","54","36","0","0.0","0","8306","0.99","1200"
"org.openrewrite.java.migrate.javax.MigrateAbstractTypeVisitor6To9","54","36","0","0.0","0","69501","0.99","50301"
"org.openrewrite.java.migrate.JREThrowableFinalMethods","54","36","0","0.0","0","736499","0.99","100700"
"org.openrewrite.config.DeclarativeRecipe$PreconditionBellwether","54","36","0","0.0","0","6410596","0.99","5451699"
"org.openrewrite.java.migrate.ReplaceLocalizedStreamMethods","54","36","0","0.0","0","8688902","0.99","832400"
"org.openrewrite.java.migrate.JREJdbcInterfaceNewMethods","54","36","0","0.0","0","22292","0.99","3800"
"org.openrewrite.java.dependencies.ChangeDependency","162","36","0","0.0","0","7871100","0.99","5264000"
"org.openrewrite.java.migrate.javax.MigrateXMLEventFactoryNewInstanceToNewFactory","54","36","0","0.0","0","8600","0.99","1499"
"org.openrewrite.java.migrate.RemoveIllegalSemicolons","54","36","0","0.0","0","11967601","0.99","1341501"
"org.openrewrite.staticanalysis.BigDecimalRoundingConstantsToEnums","54","36","0","0.0","0","12695199","0.99","1693200"
"org.openrewrite.java.migrate.javax.MigrateElementKindVisitor6To9","54","36","0","0.0","0","15305","0.99","1700"
"org.openrewrite.java.migrate.lombok.LombokValToFinalVar","54","36","0","0.0","0","3913804","0.99","238299"
"org.openrewrite.gradle.AddDependency","54","36","861002","0.99","92200","703394","0.99","60100"
"org.openrewrite.java.migrate.UpgradeJavaVersion","162","36","0","0.0","0","81851900","0.99","15348800"
"org.openrewrite.java.migrate.lang.MigrateClassNewInstanceToGetDeclaredConstructorNewInstance","54","36","0","0.0","0","1731201","0.99","300600"
"org.openrewrite.java.migrate.ReplaceComSunAWTUtilitiesMethods","54","36","0","0.0","0","10743995","0.99","955999"
"org.openrewrite.java.migrate.util.ReplaceMathRandomWithThreadLocalRandomRecipe","54","36","0","0.0","0","1702402","0.99","974900"
"org.openrewrite.java.dependencies.RemoveDependency","108","36","626089","0.99","125400","11106902","0.99","6758599"
"org.openrewrite.java.migrate.javax.MigrateAbstractAnnotationValueVisitor6To9","54","36","0","0.0","0","9605","0.99","2301"
"org.openrewrite.java.ChangePackage","162","36","0","0.0","0","13003610","0.99","540700"
"org.openrewrite.java.migrate.util.ListFirstAndLast","54","36","0","0.0","0","2137809","0.99","183800"
"org.openrewrite.java.migrate.maven.UpdateMavenProjectPropertyJavaVersion","162","36","0","0.0","0","46642498","0.99","45240300"
"org.openrewrite.java.migrate.net.URLConstructorsToURIRecipes$URLSingleArgumentConstructorRecipe","54","36","0","0.0","0","14148607","0.99","1152100"
"org.openrewrite.staticanalysis.PrimitiveWrapperClassConstructorToValueOf","54","36","0","0.0","0","14638002","0.99","1736600"
"org.openrewrite.staticanalysis.InstanceOfPatternMatch","54","36","0","0.0","0","9050897","0.99","914300"
"org.openrewrite.java.migrate.SunNetSslPackageUnavailable","54","36","0","0.0","0","9091","0.99","900"
"org.openrewrite.java.migrate.net.MigrateURLEncoderEncode","54","36","0","0.0","0","368102","0.99","30500"
"org.openrewrite.java.migrate.lang.MigrateCharacterIsSpaceToIsWhitespace","54","36","0","0.0","0","11301","0.99","1400"
"org.openrewrite.java.migrate.cobertura.RemoveCoberturaMavenPlugin","54","36","0","0.0","0","10800","0.99","601"
"org.openrewrite.java.migrate.RemovedZipFinalizeMethods","54","36","0","0.0","0","9598","0.99","700"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicIntegerWeakCompareAndSetToWeakCompareAndSetPlain","54","36","0","0.0","0","17305","0.99","1900"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicReferenceWeakCompareAndSetToWeakCompareAndSetPlain","54","36","0","0.0","0","12298","0.99","700"
"org.openrewrite.java.migrate.logging.MigrateInterfaceLoggingMXBeanToPlatformLoggingMXBean","54","36","0","0.0","0","13099","0.99","2399"
"org.openrewrite.java.migrate.javax.MigrateCounterMonitorSetThresholdToSetInitThreshold","54","36","0","0.0","0","7202","0.99","401"
"org.openrewrite.java.migrate.RemovedPolicy","54","36","0","0.0","0","12602","0.99","1200"
"org.openrewrite.java.migrate.javax.MigrateXMLInputFactoryNewInstanceToNewFactory","54","36","0","0.0","0","13811","0.99","1401"
"org.openrewrite.java.migrate.logging.MigrateGetLoggingMXBeanToGetPlatformMXBean","54","36","0","0.0","0","965603","0.99","206400"
"org.openrewrite.java.migrate.lang.MigrateRuntimeVersionMajorToFeature","54","36","0","0.0","0","9195","0.99","1100"
"org.openrewrite.java.migrate.InternalBindPackages","54","36","0","0.0","0","19304","0.99","1499"
"org.openrewrite.java.migrate.ChangeMethodInvocationReturnType","54","36","0","0.0","0","14832692","0.99","4523000"
"org.openrewrite.java.migrate.lang.StringFormatted","54","36","0","0.0","0","73664106","0.99","69036301"
"org.openrewrite.java.migrate.net.URLConstructorsToURIRecipes$URLFourArgumentConstructorRecipe","54","36","0","0.0","0","2089301","0.99","178400"
"org.openrewrite.java.migrate.ArrayStoreExceptionToTypeNotPresentException","54","36","0","0.0","0","211488","0.99","21300"
"org.openrewrite.java.migrate.javax.MigrateSimpleAnnotationValueVisitor6To9","54","36","0","0.0","0","13105","0.99","801"
"org.openrewrite.java.migrate.jacoco.UpgradeJaCoCo","54","36","0","0.0","0","6902","0.99","500"
"org.openrewrite.java.migrate.UseJavaUtilBase64","54","36","0","0.0","0","3367601","0.99","282301"
"org.openrewrite.maven.AddAnnotationProcessor","54","36","0","0.0","0","8097","0.99","1100"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicBooleanWeakCompareAndSetToWeakCompareAndSetPlain","54","36","0","0.0","0","8410","0.99","700"
"org.openrewrite.java.migrate.javax.MigrateAbstractElementVisitor6To9","54","36","0","0.0","0","30601","0.99","12699"
"org.openrewrite.staticanalysis.AddSerialAnnotationToSerialVersionUID","54","36","0","0.0","0","4090799","0.99","1274500"
"org.openrewrite.java.migrate.RemovedRMIConnectorServerCredentialTypesConstant","54","36","0","0.0","0","9510","0.99","700"
"org.openrewrite.java.dependencies.UpgradeDependencyVersion","540","36","130495620","0.99","88785800","47673490","0.99","12329899"
"org.openrewrite.java.migrate.javax.MigrateSimpleElementVisitor6To9","54","36","0","0.0","0","14106","0.99","901"
"org.openrewrite.java.dependencies.AddDependency","270","36","228840197","0.99","132008100","8478902","0.99","1455500"
"org.openrewrite.java.migrate.concurrent.JavaConcurrentAPIs","54","36","0","0.0","0","19696","0.99","1801"
"org.openrewrite.java.migrate.logging.JavaLoggingAPIs","54","36","0","0.0","0","18498","0.99","1700"
"org.openrewrite.java.migrate.javax.AddInjectDependencies","54","36","0","0.0","0","9898","0.99","1699"
"org.openrewrite.java.migrate.logging.MigrateLoggerGlobalToGetGlobal","54","36","0","0.0","0","2406202","0.99","189300"
"org.openrewrite.java.migrate.javax.AddJaxbRuntime","54","36","6897804","0.99","384299","12062605","0.99","8613600"
"org.openrewrite.java.migrate.net.URLConstructorsToURIRecipes$URLThreeArgumentConstructorRecipe","54","36","0","0.0","0","2571087","0.99","234899"
"org.openrewrite.java.migrate.lang.ThreadStopUnsupported","54","36","0","0.0","0","8425397","0.99","877199"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicIntegerArrayWeakCompareAndSetToWeakCompareAndSetPlain","54","36","0","0.0","0","12602","0.99","1599"
"org.openrewrite.java.migrate.DeprecatedJavaxSecurityCert","54","36","0","0.0","0","17696","0.99","1200"
"org.openrewrite.gradle.UpdateJavaCompatibility","162","36","0","0.0","0","138103","0.99","2999"
"org.openrewrite.java.migrate.RemovedFileIOFinalizeMethods","54","36","0","0.0","0","10197","0.99","1200"
"org.openrewrite.java.migrate.javax.JavaxLangModelUtil","54","36","0","0.0","0","11495","0.99","2100"
"org.openrewrite.jenkins.UpgradeJavaVersion","162","36","1316299","0.99","323800","6165200","0.99","1006200"
"org.openrewrite.maven.AddDependency","54","36","1195905","0.99","545501","421104","0.99","34500"
"org.openrewrite.java.migrate.lang.MigrateSecurityManagerMulticast","54","36","0","0.0","0","115495","0.99","6599"
"org.openrewrite.gradle.UpdateGradleWrapper","108","36","15876107","0.99","7451399","700698","0.99","26500"
"org.openrewrite.java.migrate.net.URLConstructorsToURIRecipes","54","36","0","0.0","0","23495","0.99","1500"
"org.openrewrite.java.migrate.javax.AddJaxwsRuntime$AddJaxwsRuntimeMaven","54","36","0","0.0","0","708295","0.99","700501"
"org.openrewrite.java.migrate.javax.AddJaxwsRuntime$AddJaxwsRuntimeGradle","54","36","0","0.0","0","29899","0.99","3300"
"org.openrewrite.java.migrate.javax.MigrateTypeKindVisitor6To9","54","36","0","0.0","0","11793","0.99","500"
"org.openrewrite.java.migrate.logging.MigrateLoggerLogrbToUseResourceBundle","54","36","0","0.0","0","113199","0.99","9101"
"org.openrewrite.java.migrate.lang.MigrateClassLoaderDefineClass","54","36","0","0.0","0","16132298","0.99","1360200"
"org.openrewrite.maven.RemoveRedundantDependencyVersions","270","36","0","0.0","0","3981393","0.99","1108801"
"org.openrewrite.java.migrate.javax.JavaxManagementMonitorAPIs","54","36","0","0.0","0","11501","0.99","700"
"org.openrewrite.java.migrate.UpgradeBuildToJava17","54","36","0","0.0","0","21398","0.99","1700"
"org.openrewrite.java.migrate.ReplaceStringLiteralValue","54","36","0","0.0","0","9657097","0.99","683599"
"org.openrewrite.java.ReplaceConstantWithAnotherConstant","54","36","0","0.0","0","2449298","0.99","163700"
"org.openrewrite.java.migrate.lang.JavaLangAPIs","54","36","0","0.0","0","15302","0.99","1499"
"org.openrewrite.java.migrate.DeleteDeprecatedFinalize","54","36","0","0.0","0","11993","0.99","1100"
"org.openrewrite.java.migrate.UpgradeBuildToJava11","54","36","0","0.0","0","10103","0.99","1900"
"org.openrewrite.java.migrate.util.SequencedCollection","54","36","0","0.0","0","17705","0.99","1101"
"org.openrewrite.java.migrate.UpgradePluginsForJava21","54","36","0","0.0","0","23699","0.99","7100"
"org.openrewrite.java.migrate.Jre17AgentMainPreMainPublic","54","36","0","0.0","0","13498","0.99","1100"
"org.openrewrite.java.migrate.CastArraysAsListToList","54","36","0","0.0","0","181801","0.99","11601"
"org.openrewrite.java.migrate.nio.file.PathsGetToPathOf","54","36","0","0.0","0","13000","0.99","1500"
"org.openrewrite.java.migrate.javax.AddJaxbDependencies","54","36","0","0.0","0","24097","0.99","1701"
"org.openrewrite.java.migrate.JREWrapperInterface","54","36","0","0.0","0","7494","0.99","1200"
"org.openrewrite.java.migrate.net.MigrateMulticastSocketSetTTLToSetTimeToLive","54","36","0","0.0","0","265902","0.99","46100"
"org.openrewrite.java.migrate.UpgradeBuildToJava21","54","36","0","0.0","0","5803","0.99","700"
"org.openrewrite.java.migrate.RemovedSSLSessionGetPeerCertificateChainMethodImpl","54","36","0","0.0","0","10106","0.99","700"
"org.openrewrite.maven.UpgradePluginVersion","540","36","0","0.0","0","48964003","0.99","45199600"
"org.openrewrite.java.migrate.UpgradePluginsForJava17","54","36","0","0.0","0","9696","0.99","899"
"org.openrewrite.java.ChangeMethodName","1728","36","0","0.0","0","76861484","0.99","511900"
"org.openrewrite.java.migrate.lombok.UpdateLombokToJava11","54","36","0","0.0","0","35504","0.99","12700"
"org.openrewrite.java.migrate.javax.AddCommonAnnotationsDependencies","54","36","0","0.0","0","9198","0.99","1301"
"org.openrewrite.java.migrate.UpgradePluginsForJava11","54","36","0","0.0","0","20297","0.99","2500"
"org.openrewrite.java.migrate.net.MigrateURLDecoderDecode","54","36","0","0.0","0","1227196","0.99","84200"
"org.openrewrite.java.migrate.util.OptionalNotPresentToIsEmpty","54","36","0","0.0","0","1331197","0.99","85399"
"org.openrewrite.java.migrate.util.OptionalStreamRecipe","54","36","0","0.0","0","97508","0.99","6001"
"org.openrewrite.java.migrate.ReferenceCloneMethod","54","36","0","0.0","0","413898","0.99","61600"
"com.enterprise.banking.UpgradeToJava21","54","36","0","0.0","0","41096","0.99","27500"
"org.openrewrite.java.migrate.lang.MigrateRuntimeVersionSecurityToUpdate","54","36","0","0.0","0","7698","0.99","500"
"org.openrewrite.java.migrate.sql.JavaSqlAPIs","54","36","0","0.0","0","17098","0.99","2100"
"org.openrewrite.java.migrate.RemovedSubjectMethods","54","36","0","0.0","0","11302","0.99","700"
"org.openrewrite.java.migrate.AddMissingMethodImplementation","594","36","0","0.0","0","39881577","0.99","7428100"
"org.openrewrite.java.migrate.util.IteratorNext","54","36","0","0.0","0","879907","0.99","105001"
"org.openrewrite.java.migrate.maven.UseMavenCompilerPluginReleaseConfiguration","162","36","0","0.0","0","17852797","0.99","10120600"
"org.openrewrite.java.migrate.Java8toJava11","54","36","0","0.0","0","8501","0.99","1500"
"org.openrewrite.java.migrate.net.MigrateHttpURLConnectionHttpServerErrorToHttpInternalError","54","36","0","0.0","0","1670899","0.99","162600"
"org.openrewrite.java.migrate.util.StreamFindFirst","54","36","0","0.0","0","836606","0.99","189499"
"org.openrewrite.java.migrate.ReplaceAWTGetPeerMethod","54","36","0","0.0","0","222392","0.99","24800"
"org.openrewrite.java.migrate.ThreadStopDestroy","54","36","0","0.0","0","12295","0.99","1400"
"org.openrewrite.scala.migrate.UpgradeScala_2_12","54","36","0","0.0","0","12401","0.99","801"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicLongWeakCompareAndSetToWeakCompareAndSetPlain","54","36","0","0.0","0","14096","0.99","1200"
"org.openrewrite.java.migrate.RemovedModifierAndConstantBootstrapsConstructors","54","36","0","0.0","0","11005","0.99","1799"
"org.openrewrite.java.migrate.javax.MigrateXMLOutputFactoryNewInstanceToNewFactory","54","36","0","0.0","0","11296","0.99","1000"
"org.openrewrite.java.migrate.javax.MigrateSimpleTypeVisitor6To9","54","36","0","0.0","0","13403","0.99","800"
"org.openrewrite.java.ChangeMethodTargetToStatic","216","36","0","0.0","0","583792","0.99","32399"
"org.openrewrite.java.migrate.javax.JavaxXmlStreamAPIs","54","36","0","0.0","0","12094","0.99","799"
"org.openrewrite.java.migrate.javax.MigrateElementScanner6To9","54","36","0","0.0","0","14205","0.99","1100"
"org.openrewrite.java.migrate.RemovedSecurityManagerMethods","54","36","0","0.0","0","8792403","0.99","1039799"
"org.openrewrite.java.ChangeType","864","36","0","0.0","0","239057388","0.99","16261400"
"org.openrewrite.maven.RemovePlugin","54","36","0","0.0","0","2262899","0.99","2222900"
"org.openrewrite.maven.RemoveManagedDependency","108","36","0","0.0","0","1169408","0.99","792400"
"org.openrewrite.java.migrate.lang.MigrateCharacterIsJavaLetterToIsJavaIdentifierStart","54","36","0","0.0","0","8305","0.99","901"
"org.openrewrite.java.migrate.RemovedToolProviderConstructor","54","36","0","0.0","0","14300","0.99","2101"
"org.openrewrite.java.migrate.MXBeanRule","54","36","0","0.0","0","15943306","0.99","1427900"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicLongArrayWeakCompareAndSetToWeakCompareAndSetPlain","54","36","0","0.0","0","12097","0.99","1600"
"org.openrewrite.java.migrate.javax.AddJaxwsDependencies","54","36","0","0.0","0","17402","0.99","1801"
"org.openrewrite.java.migrate.RemovedRuntimeTraceMethods","54","36","0","0.0","0","19204","0.99","1599"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicReferenceArrayWeakCompareAndSetToWeakCompareAndSetPlain","54","36","0","0.0","0","11903","0.99","1001"
"org.openrewrite.java.migrate.lang.UseTextBlocks","54","36","0","0.0","0","13955808","0.99","3298199"
"org.openrewrite.java.migrate.lang.MigrateRuntimeVersionMinorToInterim","54","36","0","0.0","0","11397","0.99","1600"
"org.openrewrite.staticanalysis.ReplaceDeprecatedRuntimeExecMethods","54","36","0","0.0","0","12528795","0.99","1119399"
"org.openrewrite.java.migrate.lang.MigrateCharacterIsJavaLetterOrDigitToIsJavaIdentifierPart","54","36","0","0.0","0","10500","0.99","899"
"org.openrewrite.java.RemoveMethodInvocations","594","36","0","0.0","0","2043787","0.99","120301"
"org.openrewrite.java.migrate.DeprecatedLogRecordThreadID","54","36","0","0.0","0","10898","0.99","901"
"org.openrewrite.java.migrate.logging.MigrateLogRecordSetMillisToSetInstant","54","36","0","0.0","0","575604","0.99","92300"
"org.openrewrite.java.migrate.util.UseLocaleOf","54","36","0","0.0","0","592803","0.99","82799"
"org.openrewrite.java.migrate.net.JavaNetAPIs","54","36","0","0.0","0","126595","0.99","100600"
